task,round,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
5,19,169,8.2553,8.2553,4.1642,2.3369,8.2553,6.8862,8.2553,8.2553,2.5585,1.4564,7.3874,10.67886
5,20,170,8.2909,8.2909,4.8187,2.7049,8.2909,7.0387,8.2909,8.2909,2.6671,1.4744,7.3956,10.676296
5,21,171,8.3932,8.3932,6.0336,3.4372,8.3932,7.3725,8.3932,8.3932,3.0225,1.6224,7.3886,10.702162
5,22,172,9.4097,9.4097,6.5555,3.6662,9.4097,9.2626,9.4097,9.4097,5.3491,3.0287,7.2789,10.733884
5,23,173,9.6351,9.6351,6.7096,3.7408,9.6351,9.6585,9.6351,9.6351,5.725,3.2283,7.2629,10.660115
5,24,174,9.8427,9.8427,6.8524,3.8513,9.8427,10.0486,9.8427,9.8427,6.0603,3.4074,7.2365,10.653398
5,25,175,10.1005,10.1005,6.8891,3.9567,10.1005,10.5279,10.1005,10.1005,6.4068,3.5943,7.1925,10.610649
5,26,176,10.4103,10.4103,6.9636,3.984,10.4103,11.1757,10.4103,10.4103,6.7738,3.7774,7.1409,10.604848
5,27,177,11.1414,11.1414,6.9578,4.0723,11.1414,12.5507,11.1414,11.1414,7.1835,4.0184,7.009,10.613236
5,28,178,11.2072,11.2072,7.0144,4.0885,11.2072,12.5996,11.2072,11.2072,7.2542,4.0612,7.0003,10.597696
5,29,179,11.2565,11.2565,7.0383,3.9863,11.2565,12.6897,11.2565,11.2565,7.3606,4.0933,6.9961,10.601089
5,30,180,11.3152,11.3152,7.0359,3.9347,11.3152,12.6675,11.3152,11.3152,7.3649,4.13,7.0008,10.577708
