task,round,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
2,22,82,35.2686,35.2686,14.5734,20.7729,35.2686,30.0476,35.2686,35.2686,16.4958,23.7971,6.9336,8.173963
2,23,83,35.3297,35.3297,14.5495,20.7601,35.3297,30.1191,35.3297,35.3297,16.4863,23.8122,6.8922,8.168624
2,24,84,35.3921,35.3921,14.5213,20.7358,35.3921,30.1727,35.3921,35.3921,16.4606,23.8065,6.8466,8.16241
2,25,85,35.3969,35.3969,14.5364,20.7506,35.3969,30.1746,35.3969,35.3969,16.4835,23.8259,6.8567,8.15459
2,26,86,35.4256,35.4256,14.514,20.7329,35.4256,30.2158,35.4256,35.4256,16.4651,23.8171,6.822,8.146448
2,27,87,35.4202,35.4202,14.4621,20.7017,35.4202,30.1789,35.4202,35.4202,16.4193,23.7926,6.732,8.135852
2,28,88,35.4363,35.4363,14.8748,22.1121,35.4363,30.215,35.4363,35.4363,16.71,25.1073,5.6638,8.131421
2,29,89,35.4435,35.4435,14.4979,20.7269,35.4435,30.2244,35.4435,35.4435,16.458,23.8191,6.8046,8.131343
2,30,90,35.4659,35.4659,20.0151,42.4729,35.4659,30.3084,35.4659,35.4659,16.4127,23.8016,6.7307,8.120363
3,1,91,10.9488,10.9488,7.9806,13.183,10.9488,11.1922,10.9488,10.9488,2.5677,2.6197,8.7127,10.826084
3,2,92,10.9298,10.9298,6.1036,11.7565,10.9298,10.013,10.9298,10.9298,2.574,2.7987,8.7831,10.534726
3,3,93,20.0763,20.0763,6.4492,12.3447,20.0763,13.093,20.0763,20.0763,6.3019,12.3316,8.7245,10.483523
3,4,94,33.7483,33.7483,12.1533,19.2183,33.7483,18.7917,33.7483,33.7483,11.6642,22.0745,8.8854,10.374073
3,5,95,35.9551,35.9551,13.4173,20.8829,35.9551,19.9855,35.9551,35.9551,12.8018,24.1239,9.1802,10.306969
3,6,96,36.8105,36.8105,14.1512,22.2478,36.8105,20.6289,36.8105,36.8105,13.4706,25.4046,9.3284,10.176267
3,7,97,30.4674,30.4674,13.7315,19.5541,30.4674,17.8287,30.4674,30.4674,11.8983,20.918,10.4015,10.159694
3,8,98,27.7725,27.7725,12.5155,17.0942,27.7725,17.1608,27.7725,27.7725,10.8554,17.9517,10.7255,10.006456
3,9,99,27.5259,27.5259,11.525,16.8188,27.5259,17.1452,27.5259,27.5259,10.3429,17.6316,10.7133,9.932763
3,10,100,26.8294,26.8294,11.2029,16.788,26.8294,17.0141,26.8294,26.8294,9.8654,17.1921,10.6984,9.827656
3,11,101,17.4001,17.4001,8.9536,12.4288,17.4001,13.3425,17.4001,17.4001,5.6702,7.6852,10.6946,9.854176
3,12,102,17.3941,17.3941,9.2845,13.7825,17.3941,13.5634,17.3941,17.3941,5.8069,7.7822,10.6646,9.810823
3,13,103,17.3889,17.3889,9.6865,14.5533,17.3889,13.6358,17.3889,17.3889,5.8832,7.7669,10.6553,9.793585
3,14,104,17.2979,17.2979,9.5686,14.7844,17.2979,13.6402,17.2979,17.2979,5.7198,7.5751,10.6561,9.773778
3,15,105,17.2722,17.2722,9.8287,15.8043,17.2722,13.8054,17.2722,17.2722,5.8328,7.5678,10.6458,9.741365
3,16,106,17.1928,17.1928,10.4034,17.2784,17.1928,13.7414,17.1928,17.1928,5.7209,7.5275,10.6384,9.725558
3,17,107,17.2174,17.2174,11.4269,18.7182,17.2174,14.166,17.2174,17.2174,6.2045,7.6287,10.6294,9.699284
3,18,108,16.9342,16.9342,11.439,18.6858,16.9342,14.1036,16.9342,16.9342,5.9858,7.2994,10.6205,9.711559
3,19,109,16.597,16.597,10.3893,16.2956,16.597,13.7997,16.597,16.597,5.548,6.6523,10.6828,9.690132
3,20,110,16.5338,16.5338,10.4647,16.3877,16.5338,13.9821,16.5338,16.5338,5.603,6.5283,10.7218,9.664747
3,21,111,16.3984,16.3984,10.0572,14.9847,16.3984,14.0447,16.3984,16.3984,5.5955,6.3307,10.7462,9.686604
3,22,112,16.412,16.412,10.3901,15.56,16.412,14.1861,16.412,16.412,5.6366,6.3315,10.7663,9.652081
3,23,113,16.301,16.301,10.7619,15.8455,16.301,14.2237,16.301,16.301,5.5653,6.2926,10.7565,9.648945
3,24,114,16.261,16.261,10.8319,15.5425,16.261,14.1577,16.261,16.261,5.4624,6.2674,10.7753,9.658729
3,25,115,16.2225,16.2225,11.2294,15.9137,16.2225,14.2348,16.2225,16.2225,5.4609,6.2306,10.788,9.637135
3,26,116,16.2442,16.2442,11.3964,15.6126,16.2442,14.2591,16.2442,16.2442,5.7538,6.3408,10.8906,9.640642
3,27,117,16.1984,16.1984,11.874,15.941,16.1984,14.4009,16.1984,16.1984,5.8683,6.3673,10.9114,9.623254
3,28,118,16.1395,16.1395,12.0095,15.9554,16.1395,14.3354,16.1395,16.1395,5.7965,6.33,10.9218,9.623338
3,29,119,16.1074,16.1074,12.8143,15.7779,16.1074,14.4508,16.1074,16.1074,5.8392,6.3197,10.9163,9.632118
3,30,120,16.0976,16.0976,12.3583,15.7872,16.0976,14.4256,16.0976,16.0976,5.7356,6.2805,10.918,9.633725
4,1,121,12.1398,12.1398,0.9696,1.5526,12.1398,5.4047,12.1398,12.1398,1.3159,2.6901,11.7825,11.733817
4,2,122,12.1542,12.1542,1.1402,1.6042,12.1542,5.4382,12.1542,12.1542,1.5675,2.7236,11.7349,11.092678
4,3,123,12.1834,12.1834,1.3114,1.7187,12.1834,5.6086,12.1834,12.1834,1.7462,2.7727,11.6514,11.010821
4,4,124,14.2591,14.2591,5.6864,2.9184,14.2591,8.9047,14.2591,14.2591,3.6163,4.1538,11.2965,10.916109
4,5,125,14.3007,14.3007,11.9352,12.553,14.3007,8.998,14.3007,14.3007,3.6076,4.2139,11.2504,10.776523
4,6,126,14.3688,14.3688,12.4066,13.4243,14.3688,9.2895,14.3688,14.3688,4.1782,4.3937,11.2208,10.621657
4,7,127,14.6401,14.6401,12.0903,15.264,14.6401,10.4074,14.6401,14.6401,5.2754,4.9866,11.1619,10.589865
4,8,128,14.9292,14.9292,11.7979,15.8841,14.9292,11.1289,14.9292,14.9292,5.2994,5.6245,11.092,10.6218
4,9,129,23.471,23.471,11.8689,20.5051,23.471,14.6791,23.471,23.471,8.3042,14.4621,9.8485,10.47084
4,10,130,23.769,23.769,12.5616,20.8649,23.769,15.122,23.769,23.769,8.2193,15.0265,9.6812,10.426972
4,11,131,23.8129,23.8129,14.6681,23.295,23.8129,15.5582,23.8129,23.8129,8.0638,15.056,9.5093,10.450467
4,12,132,25.0413,25.0413,11.7395,23.7691,25.0413,16.091,25.0413,25.0413,8.8802,17.0831,9.3161,10.347334
4,13,133,29.6372,29.6372,11.1093,23.0142,29.6372,18.3109,29.6372,29.6372,9.4427,19.2245,7.3756,10.338338
