task,round,global_round,accuracy,f1_macro,loss
0,1,1,54.54,11.9,1.8076
0,2,2,34.01,8.46,1.718
0,3,3,34.05,8.67,1.6886
0,4,4,34.5,10.47,1.6692
0,5,5,35.62,14.14,1.6548
0,6,6,36.82,17.16,1.6406
0,7,7,91.14,41.32,1.6303
0,8,8,92.15,42.96,1.6268
0,9,9,92.43,43.42,1.6205
0,10,10,92.84,43.99,1.6161
0,11,11,92.89,44.07,1.6134
0,12,12,93.03,44.33,1.6122
0,13,13,93.01,44.27,1.6081
0,14,14,92.93,44.16,1.6012
0,15,15,93.03,44.36,1.5996
0,16,16,93.19,44.73,1.5978
0,17,17,93.32,45.07,1.5947
0,18,18,93.29,45.17,1.5974
0,19,19,93.34,45.56,1.5946
0,20,20,93.39,46.09,1.5911
0,21,21,93.46,46.41,1.5888
0,22,22,93.5,46.48,1.583
0,23,23,93.62,47.39,1.5835
0,24,24,93.63,47.21,1.5792
0,25,25,93.69,47.26,1.5799
0,26,26,93.81,47.92,1.5822
0,27,27,93.65,46.89,1.5809
0,28,28,93.65,47.29,1.5775
0,29,29,93.7,47.95,1.5761
0,30,30,93.89,49.13,1.5711
1,1,31,16.12,2.69,8.2997
1,2,32,21.21,10.59,7.5448
1,3,33,21.5,11.16,7.4024
1,4,34,21.57,11.23,7.3386
1,5,35,21.65,11.41,7.3031
1,6,36,21.69,11.59,7.2744
1,7,37,22.36,12.38,7.2402
1,8,38,22.49,12.57,7.2103
1,9,39,28.55,17.21,7.2046
1,10,40,30.52,18.26,7.188
1,11,41,31.25,18.68,7.1695
1,12,42,34.64,20.33,7.1592
1,13,43,35.89,20.81,7.147
1,14,44,36.24,21.02,7.1259
1,15,45,36.67,21.27,7.1216
1,16,46,36.88,21.44,7.1085
1,17,47,37.04,21.57,7.1097
1,18,48,37.08,21.87,7.0995
1,19,49,37.15,22.01,7.0831
1,20,50,37.19,22.16,7.0754
1,21,51,37.19,22.04,7.0734
1,22,52,37.22,22.09,7.061
1,23,53,37.21,22.3,7.0609
1,24,54,37.23,22.43,7.0486
1,25,55,37.24,22.55,7.0447
1,26,56,37.24,22.45,7.0365
1,27,57,37.25,22.56,7.0313
1,28,58,37.26,22.86,7.0246
1,29,59,37.26,23.08,7.018
1,30,60,37.26,22.85,7.0162
2,1,61,14.26,7.12,9.7142
2,2,62,13.36,5.25,8.8885
2,3,63,35.76,16.68,8.7524
2,4,64,26.05,13.18,8.6724
2,5,65,26.06,14.43,8.6189
2,6,66,25.92,13.34,8.5383
2,7,67,27.53,13.75,8.4455
2,8,68,27.54,13.89,8.3968
2,9,69,27.53,13.6,8.3602
2,10,70,27.61,14.11,8.3397
2,11,71,27.52,13.34,8.315
2,12,72,33.56,16.22,8.2931
2,13,73,34.55,16.48,8.2785
2,14,74,34.61,16.48,8.2642
2,15,75,34.62,16.5,8.2583
2,16,76,34.66,16.5,8.2317
2,17,77,34.64,16.49,8.2226
2,18,78,34.9,16.52,8.2149
2,19,79,35.08,16.53,8.2015
2,20,80,35.17,16.54,8.1928
2,21,81,35.25,16.5,8.1861
